"plainTextVote","trackerNumber"
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",44671974
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",53720834
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Sagar Indie] ",35645285
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",51858602
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",49254068
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",87373239
" Contest:[Private Practice Members Representatives][ Sagar Indie] [ Wardlaw Michael] ",80924132
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",44581654
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] ",38132483
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",18189084
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",61066767
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",34949875
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",90281486
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",48863114
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",61969572
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",75379402
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",75293831
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",55617595
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",61784460
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",43331673
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",99924600
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",37181450
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",36957100
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",92624484
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",57994141
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",91629471
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",36756951
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",30817097
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",52355321
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",41683614
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",33723560
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",46906999
" Contest:[Private Practice Members Representatives][ Wardlaw Michael] ",10423104
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",80192807
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",96083689
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",70444036
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",68245346
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",83127893
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",81520686
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",99124456
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",86005355
